image_path,plate_text
good_plates/web_0031.png,1KH83764
good_plates/web_0005.png,1KH249
good_plates/image_copy_56__0.png,3G444
good_plates/web_0030.png,4KH1539
good_plates/web_0024.png,1KH7992
good_plates/image_copy_25__0.png,4KH58781
good_plates/image_copy_81__0.png,1KH11755
good_plates/web_0013.png,4KH1539
web_plates/web_0018.png,1KH249
good_plates/image_copy__0.png,7KH10346
good_plates/image_copy_48__0.png,3KH91836
good_plates/image_copy_32__0.png,KH5404
good_plates/image_copy_19__0.png,4KH35706
good_plates/image_copy_46__0.png,5KH42864
good_plates/web_0003.png,4KH22477
good_plates/image_copy_13__0.png,5KH2231
good_plates/image_copy_25__0.png,4KH58781
good_plates/web_0030.png,4KH1539
good_plates/image_copy_9__0.png,3KH95019
good_plates/image_copy_23__0.png,4KH94983
good_plates/image_copy_79__0.png,5KH62591
good_plates/image_copy_52__0.png,5KH84909
good_plates/image_copy_61__0.png,4KH24548
good_plates/image_copy_9__0.png,3KH95019
good_plates/image_copy_31__0.png,4KH7754
good_plates/image_copy_21__0.png,4KH79081
good_plates/image_copy_52__0.png,5KH84909
good_plates/image_copy_61__0.png,4KH24548
good_plates/image_copy_75__0.png,1NK14825
good_plates/web_0007.png,1KH58485
web_plates/web_0005.png,4KH1539
good_plates/image_copy_46__0.png,5KH42864
good_plates/image_copy_93__0.png,1KH52229
good_plates/image_copy_101__0.png,1KH41253
web_plates/web_0021.png,1KH799
good_plates/image_copy_94__0.png,7G9966
good_plates/web_0017.png,4KH1757
good_plates/web_0017.png,4KH1757
good_plates/image_copy_41__0.png,3KH83207
good_plates/web_0003.png,4KH22477
good_plates/image_copy_14__0.png,1KH17529
good_plates/image_copy_93__0.png,1KH52229
web_plates/web_0014.png,2KH14514
good_plates/image_copy_101__0.png,1KH41253
good_plates/image_copy_76__0.png,5KH30867
good_plates/image_copy_40__0.png,5KH6438
good_plates/image_copy_14__0.png,1KH17529
web_plates/web_0014.png,2KH14514
good_plates/image_copy_40__0.png,5KH6438
good_plates/image_copy_24__0.png,5KH62221
good_plates/image_copy_61__0.png,4KH24548
good_plates/image_copy_81__0.png,1KH11755
good_plates/web_0016.png,2K226
good_plates/image_copy_10__0.png,1KH67587
good_plates/image_copy_2__0.png,1KH5490
good_plates/image_copy_35__0.png,KH4791
good_plates/image_copy_11__0.png,4KH63908
good_plates/image_copy_25__0.png,4KH58781
good_plates/image_copy_53__0.png,1KH18920
good_plates/image_copy_94__0.png,7G9966
good_plates/web_0008.png,4KH99812
good_plates/web_0009.png,1KH67992
web_plates/web_0003.png,4KH1539
good_plates/image_copy_19__0.png,4KH35706
good_plates/image_copy_92__0.png,4KH74773
